name,Overall Rating
Lionel Messi ,94
C. Ronaldo dos Santos Aveiro ,94
Neymar da Silva Santos Jr. ,92
Luis Suárez ,92
Manuel Neuer ,92
David De Gea Quintana ,91
Kevin De Bruyne ,91
Robert Lewandowski ,91
Eden Hazard ,91
Toni Kroos ,90
Mats Hummels ,90
Gonzalo Higuaín ,90
Sergio Ramos García ,90
Paulo Dybala ,89
Jan Oblak ,89
Thibaut Courtois ,89
Luka Modrić ,89
David Josué Jiménez Silva ,89
Sergio Agüero ,89
Giorgio Chiellini ,89
Gianluigi Buffon ,89
N'Golo Kanté ,88
Harry Kane ,88
Paul Pogba ,88
Antoine Griezmann ,88
Christian Eriksen ,88
Thiago Alcântara ,88
Alexis Sánchez ,88
Diego Godín ,88
Edinson Cavani ,88
Gareth Bale ,88
Hugo Lloris ,88
Samir Handanovič ,88
Mohamed Salah ,87
Mauro Icardi ,87
Marco Verratti ,87
James Rodríguez ,87
Lorenzo Insigne ,87
Marc-André ter Stegen ,87
Sergio Busquets Burgos ,87
Jordi Alba Ramos ,87
Philippe Coutinho Correia ,87
Pierre-Emerick Aubameyang ,87
Jérôme Boateng ,87
Marcelo Vieira da Silva ,87
Mesut Özil ,87
Dries Mertens ,87
Marek Hamšík ,87
Thiago Emiliano da Silva ,87
Gerard Piqué Bernabeu ,87
Arjen Robben ,87
Andrés Iniesta Luján ,87
Carlos Henrique Venancio Casimiro ,86
Francisco Román Alarcón Suárez ,86
Romelu Lukaku ,86
Ciro Immobile ,86
Alex Sandro Lobo Silva ,86
Thomas Müller ,86
César Azpilicueta Tanco ,86
Leonardo Bonucci ,86
Arturo Vidal ,86
Miralem Pjanić ,86
Radja Nainggolan ,86
Jan Vertonghen ,86
Ivan Rakitić ,86
Filipe Luís Kasmirski ,86
Zlatan Ibrahimović ,86
Leroy Sané ,85
Ederson Santana de Moraes ,85
Yannick Carrasco ,85
Raheem Sterling ,85
Roberto Firmino Barbosa de Oliveira ,85
Raphaël Varane ,85
Kalidou Koulibaly ,85
David Alaba ,85
Jorge Resurrección ,85
Keylor Navas ,85
Kostas Manolas ,85
Bernd Leno ,85
Nicolás Otamendi ,85
Nemanja Matić ,85
Marco Reus ,85
İlkay Gündoğan ,85
Toby Alderweireld ,85
Ivan Perišić ,85
Edin Džeko ,85
Diego da Silva Costa ,85
Medhi Benatia ,85
Sokratis Papastathopoulos ,85
Blaise Matuidi ,85
João Miranda de Souza Filho ,85
